       e1     e2     e3     e4     e5     e6    e7     e8
28  18.07  29.42  12.79  44.48  26.85   6.18  4.80   9.23
48   1.16   1.10   3.46   5.15   5.12   2.51  1.75   1.30
20  16.11  36.63  13.56  38.23  29.86   6.18  4.82   9.58
33  14.42  23.24  12.29  33.12  24.95   6.11  3.15  13.64
51   1.14   1.16   2.85   3.03   3.48   2.75  2.26   1.61
43   1.36   1.05   2.60   6.56   4.71   1.91  2.36   0.92
42   1.07   1.28   3.82   6.78   3.24   2.94  1.67   1.22
45   1.47   1.43   3.92   5.05   7.18   2.32  1.45   1.83
24  14.09  28.87   9.21  49.92  25.26   4.07  3.44  11.55
49   1.30   1.05   3.01   3.10   3.56   2.21  1.57   1.07
9   22.66  49.13  11.59  30.62  28.97  12.61  5.31  13.94
34  19.63  28.36  10.87  33.96  16.73   4.09  2.97  18.14
6   28.40  63.22   9.85  26.19  25.02   7.35  4.20   7.88
50   1.14   1.07   2.66   1.82   2.26   2.05  1.84   1.14
32  16.68  33.01  14.89  41.25  25.18   3.59  3.71   8.74
23  22.60  31.76  12.34  34.80  17.06   7.76  6.27  17.56
47   1.07   1.32   2.86   4.17   2.68   2.58  1.97   0.87
54   0.95   1.52   2.94   3.86   3.57   1.84  1.61   1.38
19  17.05  55.29  13.85  32.67  18.42  11.22  5.32  10.49
58   0.92   1.32   3.60   4.10   4.46   1.87  1.16   1.28
1   14.53  41.53  10.47  15.80  15.61   7.64  4.43   8.80
35  18.06  23.45  11.97  33.59  13.52   5.02  3.92  11.81
11  26.02  61.57  15.24  25.12  19.53   9.80  8.18  14.15
27  25.57  23.04  13.37  34.62  24.48   4.63  3.38   9.68
0   15.65  38.59  11.07  14.58   9.84   5.98  3.61  13.35
17  29.45  61.16  14.75  25.91  33.30  12.35  5.10  21.04
8   29.32  62.60  16.66  25.66  27.64   8.97  5.79  14.87
10  13.56  49.96  20.37  21.14  25.23  10.02  5.38  16.70
59   1.72   1.24   3.19   4.44   3.14   2.39  2.00   1.63
14  20.01  76.75  14.56  38.52  23.39  11.64  6.04  14.91
52   1.22   1.40   1.96   2.66   3.29   1.58  1.24   1.36
40   1.18   1.14   4.04   4.95   3.82   2.76  2.01   1.82
12  29.80  48.34  16.17  26.73  24.80  15.25  8.91  18.22
30  20.87  23.63  13.09  36.83  24.75   7.25  4.07  11.59
16  34.82  55.72  12.50  25.32  17.91  19.63  5.50  16.10
18  27.83  57.11  19.41  23.62  39.27  10.38  4.65  14.05
15  31.51  58.41  18.60  25.31  28.41  13.89  7.63  20.34
4   19.18  54.67  14.93  18.95  20.53  10.46  4.97  12.31
5   25.18  57.61  18.89  18.53  23.63  11.02  5.42  16.63
37  14.81  33.58   9.85  25.42  15.39   3.42  2.97   7.23
3   18.37  43.61  10.47  10.52  10.55  12.34  4.73  13.81
29  13.22  27.44   7.63  32.78  23.78   6.52  4.03  15.23
36  14.66  17.37  13.00  27.38  24.20   4.28  3.61   9.66
21  23.82  31.67  15.52  38.40  28.31   4.20  2.80   6.81
57   1.05   1.34   3.09   4.90   2.66   2.59  1.77   1.47
